Age,F E Africa,F E Africa 1,F E Asia,F E Asia 1,F E Europe,F E Europe 1,F S Asia,F S Asia 1,F SE Asia,F SE Asia 1,F W Africa,F W Africa 1,M E Africa,M E Africa 1,M E Asia,M E Asia 1,M E Europe,M E Europe 1,M S Asia,M S Asia 1,M SE Asia,M SE Asia 1,M W Africa,M W Africa 1,max Accept,min Accept,Gini
14,0.26,0.06,0.061,0.010,0.07,0.02,0.09,0.02,0.05,0.02,0.47,0.08,0.36,0.07,0.10,0.01,0.04,0.02,0.08,0.01,0.08,0.02,0.52,0.08,W Africa M,E Europe M,0.51
15,0.24,0.06,0.08,0.01,0.10,0.02,0.12,0.02,0.08,0.02,0.49,0.07,0.60,0.08,0.14,0.01,0.05,0.02,0.12,0.02,0.10,0.02,0.65,0.07,W Africa M,E Europe M,0.49
16,0.37,0.06,0.10,0.01,0.11,0.02,0.14,0.02,0.08,0.02,0.51,0.06,0.60,0.07,0.19,0.01,0.07,0.02,0.14,0.02,0.13,0.03,0.70,0.06,W Africa M,E Europe M,0.46
17,0.36,0.05,0.122,0.010,0.17,0.03,0.17,0.02,0.09,0.02,0.60,0.06,0.72,0.07,0.24,0.01,0.08,0.02,0.22,0.02,0.16,0.03,0.74,0.05,W Africa M,E Europe M,0.43
18,0.42,0.05,0.131,0.009,0.19,0.02,0.19,0.02,0.13,0.02,0.63,0.06,0.75,0.05,0.27,0.01,0.16,0.03,0.26,0.02,0.18,0.02,0.82,0.04,W Africa M,S E Asia F,0.40
19,0.45,0.05,0.153,0.008,0.25,0.02,0.22,0.02,0.13,0.02,0.66,0.04,0.82,0.04,0.35,0.01,0.18,0.02,0.32,0.02,0.23,0.02,0.86,0.03,W Africa M,S E Asia F,0.37
20,0.51,0.04,0.180,0.009,0.30,0.02,0.25,0.01,0.18,0.02,0.67,0.04,0.87,0.03,0.35,0.01,0.21,0.03,0.43,0.02,0.29,0.03,0.84,0.03,E Africa M,E Asia F,0.33
21,0.56,0.04,0.195,0.008,0.33,0.02,0.28,0.02,0.18,0.01,0.69,0.04,0.85,0.03,0.40,0.01,0.34,0.03,0.49,0.02,0.32,0.02,0.89,0.02,W Africa M,S E Asia F,0.30
22,0.60,0.04,0.228,0.009,0.38,0.02,0.32,0.01,0.22,0.02,0.75,0.03,0.88,0.03,0.45,0.01,0.38,0.03,0.56,0.02,0.38,0.03,0.91,0.02,W Africa M,S E Asia F,0.27
23,0.60,0.04,0.237,0.008,0.44,0.02,0.34,0.01,0.27,0.02,0.76,0.03,0.92,0.02,0.49,0.01,0.48,0.02,0.61,0.01,0.43,0.03,0.94,0.02,W Africa M,E Asia F,0.25
24,0.65,0.03,0.276,0.008,0.47,0.01,0.38,0.01,0.29,0.02,0.80,0.02,0.94,0.02,0.55,0.01,0.57,0.02,0.67,0.01,0.49,0.03,0.95,0.01,W Africa M,E Asia F,0.23
25,0.70,0.03,0.321,0.008,0.55,0.01,0.41,0.01,0.34,0.02,0.84,0.02,0.96,0.01,0.60,0.01,0.62,0.02,0.71,0.01,0.54,0.02,0.96,0.01,W Africa M,E Asia F,0.20
26,0.73,0.02,0.350,0.007,0.58,0.01,0.44,0.01,0.37,0.01,0.84,0.02,0.97,0.01,0.64,0.01,0.68,0.02,0.738,0.010,0.62,0.02,0.975,0.008,W Africa M,E Asia F,0.19
27,0.74,0.02,0.379,0.007,0.63,0.01,0.473,0.009,0.43,0.02,0.85,0.02,0.96,0.01,0.682,0.010,0.74,0.02,0.779,0.008,0.65,0.02,0.973,0.008,W Africa M,E Asia F,0.16
28,0.79,0.02,0.422,0.007,0.67,0.01,0.513,0.009,0.48,0.02,0.87,0.02,0.96,0.01,0.73,0.01,0.80,0.01,0.811,0.007,0.71,0.02,0.982,0.006,W Africa M,E Asia F,0.15
29,0.80,0.02,0.460,0.007,0.71,0.01,0.537,0.009,0.51,0.02,0.87,0.01,0.969,0.010,0.767,0.008,0.82,0.01,0.834,0.006,0.76,0.02,0.988,0.005,W Africa M,E Asia F,0.13
30,0.81,0.02,0.506,0.008,0.756,0.010,0.570,0.008,0.56,0.01,0.89,0.01,0.978,0.009,0.798,0.008,0.88,0.01,0.856,0.006,0.78,0.02,0.983,0.005,W Africa M,E Asia F,0.12
31,0.85,0.02,0.553,0.007,0.793,0.010,0.594,0.008,0.61,0.02,0.90,0.02,0.978,0.009,0.832,0.007,0.899,0.010,0.879,0.005,0.80,0.02,0.990,0.004,W Africa M,E Asia F,0.10
32,0.87,0.02,0.595,0.007,0.826,0.010,0.642,0.008,0.64,0.01,0.92,0.01,0.986,0.007,0.858,0.007,0.925,0.008,0.902,0.005,0.83,0.02,0.991,0.004,W Africa M,E Asia F,0.09
33,0.88,0.02,0.631,0.008,0.843,0.010,0.674,0.008,0.68,0.01,0.92,0.01,0.991,0.005,0.890,0.006,0.940,0.007,0.921,0.004,0.87,0.02,0.990,0.004,E Africa M,E Asia F,0.08
34,0.87,0.02,0.677,0.006,0.867,0.010,0.711,0.008,0.71,0.01,0.94,0.01,0.987,0.007,0.896,0.006,0.964,0.005,0.930,0.004,0.90,0.01,0.990,0.004,W Africa M,E Asia F,0.07
