Year,Quarter,Nationality,Region,Age,Sex,Applicant type,UASC,Location of claim,Claims
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,4
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,36
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,18
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,431
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,18
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,363
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,7
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,5
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,21
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,10
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,12
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,5
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,69
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,22
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,5
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,6
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,18
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,5
2008,2008 Q1,Antigua and Barbuda,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Armenia,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,1
2008,2008 Q1,Armenia,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Armenia,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,4
2008,2008 Q1,Azerbaijan,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Azerbaijan,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,9
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,101
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,32
2008,2008 Q1,Belarus,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Belarus,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Belarus,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,15
2008,2008 Q1,Benin,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Bhutan,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,5
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,5
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,7
2008,2008 Q1,Bosnia and Herzegovina,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Botswana,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Brazil,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,2
2008,2008 Q1,Brazil,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Brazil,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,7
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,1
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Bulgaria,EU 2,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Burkina Faso,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Burundi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Burundi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Burundi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,30
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,2
2008,2008 Q1,Central African Republic,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Chad,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,2
2008,2008 Q1,Chad,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Chad,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,37
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,84
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,213
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,29
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,16
2008,2008 Q1,Colombia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Colombia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Colombia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Congo,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Congo,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,5
2008,2008 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,11
2008,2008 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,8
2008,2008 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,20
2008,2008 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,68
2008,2008 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,3
2008,2008 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,10
2008,2008 Q1,Croatia,EU Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Cuba,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Djibouti,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Djibouti,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Ecuador,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,Ecuador,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,6
2008,2008 Q1,Egypt,Africa North,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Egypt,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,5
2008,2008 Q1,Egypt,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,10
2008,2008 Q1,Egypt,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Equatorial Guinea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Eritrea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,1
2008,2008 Q1,Eritrea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,11
2008,2008 Q1,Eritrea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,27
2008,2008 Q1,Eritrea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,347
2008,2008 Q1,Eritrea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,9
2008,2008 Q1,Eritrea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,79
2008,2008 Q1,Eswatini,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Eswatini,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Eswatini,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Eswatini,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Ethiopia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,5
2008,2008 Q1,Ethiopia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,7
2008,2008 Q1,Ethiopia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,4
2008,2008 Q1,Ethiopia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,19
2008,2008 Q1,Ethiopia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,3
2008,2008 Q1,"Gambia, The",Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,1
2008,2008 Q1,"Gambia, The",Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,16
2008,2008 Q1,"Gambia, The",Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,3
2008,2008 Q1,"Gambia, The",Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,24
2008,2008 Q1,"Gambia, The",Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Georgia,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Georgia,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,3
2008,2008 Q1,Georgia,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,7
2008,2008 Q1,Ghana,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,10
2008,2008 Q1,Ghana,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,3
2008,2008 Q1,Ghana,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,36
2008,2008 Q1,Guinea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,1
2008,2008 Q1,Guinea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Guinea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,16
2008,2008 Q1,Guinea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Guinea,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,4
2008,2008 Q1,Guyana,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,3
2008,2008 Q1,Hong Kong,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,India,Asia South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,13
2008,2008 Q1,India,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,3
2008,2008 Q1,India,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,141
2008,2008 Q1,India,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,3
2008,2008 Q1,India,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,17
2008,2008 Q1,Iran,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,22
2008,2008 Q1,Iran,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,55
2008,2008 Q1,Iran,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,63
2008,2008 Q1,Iran,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,419
2008,2008 Q1,Iran,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,3
2008,2008 Q1,Iran,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,97
2008,2008 Q1,Iraq,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,8
2008,2008 Q1,Iraq,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,48
2008,2008 Q1,Iraq,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,30
2008,2008 Q1,Iraq,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,507
2008,2008 Q1,Iraq,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Iraq,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,161
2008,2008 Q1,Israel,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,Israel,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Israel,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Ivory Coast,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,10
2008,2008 Q1,Ivory Coast,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,4
2008,2008 Q1,Ivory Coast,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,16
2008,2008 Q1,Ivory Coast,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Ivory Coast,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,2
2008,2008 Q1,Jamaica,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Jamaica,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,7
2008,2008 Q1,Jamaica,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,50
2008,2008 Q1,Jamaica,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Japan,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Jordan,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,1
2008,2008 Q1,Jordan,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,3
2008,2008 Q1,Kazakhstan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Kenya,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,10
2008,2008 Q1,Kenya,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Kenya,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,57
2008,2008 Q1,Kenya,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,2
2008,2008 Q1,Kosovo,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,5
2008,2008 Q1,Kosovo,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Kosovo,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,10
2008,2008 Q1,Kosovo,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,5
2008,2008 Q1,Kuwait,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,Kuwait,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,3
2008,2008 Q1,Kuwait,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,38
2008,2008 Q1,Lebanon,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,14
2008,2008 Q1,Lebanon,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,5
2008,2008 Q1,Lebanon,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,14
2008,2008 Q1,Lebanon,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Liberia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,1
2008,2008 Q1,Liberia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Liberia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,6
2008,2008 Q1,Libya,Africa North,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,6
2008,2008 Q1,Libya,Africa North,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Libya,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Libya,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,7
2008,2008 Q1,Malawi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,13
2008,2008 Q1,Malawi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,31
2008,2008 Q1,Malaysia,Asia South East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,Malaysia,Asia South East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Malaysia,Asia South East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,9
2008,2008 Q1,Mali,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Mauritius,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Mauritius,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,7
2008,2008 Q1,Mexico,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Moldova,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,3
2008,2008 Q1,Moldova,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Mongolia,Asia East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,Mongolia,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Mongolia,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,8
2008,2008 Q1,Mongolia,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Morocco,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,10
2008,2008 Q1,Morocco,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,2
2008,2008 Q1,Myanmar (Burma),Asia South East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,2
2008,2008 Q1,Myanmar (Burma),Asia South East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Myanmar (Burma),Asia South East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,50
2008,2008 Q1,Namibia,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Nepal,Asia South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Nepal,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,5
2008,2008 Q1,Netherlands,EU 14,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,1
2008,2008 Q1,Nicaragua,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,1
2008,2008 Q1,Nicaragua,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Nigeria,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,4
2008,2008 Q1,Nigeria,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,56
2008,2008 Q1,Nigeria,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,20
2008,2008 Q1,Nigeria,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,180
2008,2008 Q1,Nigeria,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,5
2008,2008 Q1,Nigeria,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,12
2008,2008 Q1,North Korea,Asia East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,47
2008,2008 Q1,North Korea,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,99
2008,2008 Q1,North Korea,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,6
2008,2008 Q1,North Macedonia,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Palestine,Middle East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,10
2008,2008 Q1,Palestine,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,6
2008,2008 Q1,Palestine,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,72
2008,2008 Q1,Palestine,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,2
2008,2008 Q1,Palestine,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,10
2008,2008 Q1,Oman,Middle East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Other and unknown,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Pakistan,Asia South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,16
2008,2008 Q1,Pakistan,Asia South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,162
2008,2008 Q1,Pakistan,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,13
2008,2008 Q1,Pakistan,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,274
2008,2008 Q1,Pakistan,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,23
2008,2008 Q1,Panama,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Peru,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Refugee,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,3
2008,2008 Q1,Refugee,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,9
